SCALE,SCALE_IS_HEIGHT_DP,COMPRESSION_QUALITY,OUT_COMPRESSION,PLATFORM,UPSCALING_ALGO,DOWNSCALING_ALGO,ROUNDING_MODE,SKIP_UPSCALING,SKIP_EXISTING,ANDROID_INCLUDE_LDPI_TVDPI,VERBOSE,ANDROID_MIPMAP_INSTEAD_OF_DRAWABLE,ANTI_ALIASING,POST_PROCESSOR_PNG_CRUSH,POST_PROCESSOR_WEBP,DRY_RUN,POST_PROCESSOR_MOZ_JPEG,KEEP_ORIGINAL_POST_PROCESSED_FILES,IOS_CREATE_IMAGESET_FOLDERS,CLEAN,HALT_ON_ERROR,time
1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,181.765
1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,2.089
0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,24.697
1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,181.765
1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,181.085
0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,29.626
0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,14.979
0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,2.089
1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,196.586
1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,2.094
1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,2.091
0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,2.09
1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,2.094
0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,10.992
1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,158.615
0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,2.09
1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,3.111
1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,2.087
0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,10.989
1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,2.094
1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,2.097
1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,85.595
0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,24.513
1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,9.377
1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,166.755
1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,9.377
1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,158.614
1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,2.09
0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,2.087
1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,2.097
0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,2.089
0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,31.257
0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,19.326
1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,2.094
0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,10.928
0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,11.603
0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,2.088
0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,11.603
1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,8.702
1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,2.089
0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,11.601
1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,85.595
0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.089
0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,14.184
0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,2.087
1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,3.552
0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,10.997
0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,2.089
1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,2.09
0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,11.664
0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,2.091
0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,11.672
0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,2.087
0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,2.092
1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,2.089
0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,2.091
1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,76.669
1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,173.597
1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,3.547
1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,3.544
0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,2.092
0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,31.215
1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,3.552
0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,2.087
1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,79.292
1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,3.546
0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,24.697
0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,2.089
1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,2.091
1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,2.088
0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,11.667
1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,2.091
1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,2.097
1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,3.547
1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,2.089
0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,10.994
0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,14.191
0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,11.67
1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,2.087
1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,3.547
1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,2.09
0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,2.091
1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,2.087
0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,2.087
1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,182.114
1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,158.614
0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,2.088
1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,2.097
0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,11.672
0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,11.601
0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,2.091
0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,31.257
0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,2.089
1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,181.765
0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,19.441
1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,2.091
1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,173.597
1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,2.097
0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,20.321
0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,2.089
1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,2.097
