DUPLICATES,SEQUENTIAL,MAX_MEMORY,ENV_SHARED_CACHE,REPLICATED,ENV_IS_LOCKING,CACHE_MODE,TEMPORARY,JE_FILE_LEVEL,ENV_BACKGROUND_READ_LIMIT,LOCK_DEADLOCK_DETECT,TXN_SERIALIZABLE_ISOLATION,JE_DURABILITY,ADLER32_CHUNK_SIZE,CHECKPOINTER_BYTES_INTERVAL,LOCK_DEADLOCK_DETECT_DELAY,time
0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,27.38
1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,8.218
1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,6.829
1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,4.759
0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,10.073
0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,18.651
0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,4.017
0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,11.104
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,14.662
0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,18.482
0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,10.064
1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,7.978
0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,18.262
1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,7.27
0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,3.99
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,10.741
0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,21.458
1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,14.614
1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,6.883
1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,23.307
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,18.262
1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,4.458
1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,7.266
1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,7.27
1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,7.27
1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,7.862
0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,6.532
0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,21.508
0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,21.32
0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,10.741
0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,10.758
0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,10.612
1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,4.027
0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,18.246
1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,14.571
1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,4.466
1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,7.292
1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,4.458
1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,6.671
1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,18.86
0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,10.763
0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,6.532
1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,7.275
0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,10.071
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27.38
0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,4.012
0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,11.15
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,21.458
0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,18.2
1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,6.687
1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,4.458
1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,7.867
0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,18.262
0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,10.496
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,4.027
0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,18.246
0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,6.532
1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,4.844
1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,4.458
1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,6.687
1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,8.299
1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,7.289
0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,6.532
1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,6.895
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,27.499
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11.855
0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,6.532
1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,14.647
1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,18.874
1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,4.458
1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,4.027
0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,18.2
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,18.344
0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,18.246
1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,4.471
0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,11.738
1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,6.883
0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,10.073
0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,10.579
1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,14.673
0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,3.99
1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,3.987
1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,4.453
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,14.647
1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,4.76
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,27.38
0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,11.738
0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,18.344
1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,7.926
1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,4.458
0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,10.738
0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,10.746
1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,6.683
0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,10.045
